rob_size,lq_size,sq_size,p_width,int_regs,float_regs,vec_regs,performance,energy,area,Timestamp
512,256,4,4,92,161,102,0.9654110463265,10.204290603876842,12.096820774079998,770979
64,256,16,7,67,152,159,1.0765801079459998,11.82230093896935,12.780950575679999,770979
256,128,128,7,238,226,77,0.4827255307758999,5.835601500325871,13.159152578879999,770979
128,256,64,8,87,235,178,0.9136990524249999,10.400458540035844,13.2727121856,770979
16,256,128,5,102,93,99,1.4396971415520001,15.061319429414352,12.21948891072,770979
128,4,256,6,118,115,96,0.9414246844908,10.263923607684324,12.51848630592,770979
32,256,128,4,147,89,209,1.112234042194,11.557699379956116,12.01474499904,770979
128,4,64,4,141,123,252,0.9717165338820998,10.144652233389845,11.9762317584,770979
16,128,256,9,195,248,209,1.4076937414282,15.978687684744745,13.778037584639996,770979
256,64,128,11,161,216,241,0.5045884197417999,6.6023710383207455,14.792747618879998,770979
256,256,128,7,238,256,84,0.4827255307758999,5.8505558483176,13.263504649919998,1568033
32,128,128,5,82,175,166,1.1117237365892998,11.73615192544005,12.23889403968,1568033
256,16,16,6,213,183,252,0.5307324900367,6.132082474223754,12.68184580992,1568033
256,256,16,5,209,256,143,0.5549684555037,6.269386766821681,12.465716235839999,1568033
256,4,128,6,57,254,55,1.2658626726939,13.601902299548126,12.6118487376,1568033
128,128,128,10,135,242,250,0.7482247520234,9.104289274193585,14.16534811776,1568033
256,128,256,4,163,252,65,0.6547259401367,7.129201839074259,12.134739980159999,1568033
128,128,256,4,201,256,132,0.6600692599008,7.157013023601611,12.138799216319999,1568033
16,256,256,5,214,198,93,1.4396971415520001,15.168412950973241,12.385719581759998,1568033
16,128,256,4,225,255,242,1.4377232122627,14.850662132609303,12.12563145024,1568033
256,256,128,7,229,252,65,0.48272640009479995,5.847762564744747,13.20469522848,2358836
256,256,128,5,246,252,62,0.5546991306879999,6.288951861057051,12.48373528416,2358836
256,256,256,5,248,256,63,0.554698351568,6.306708856671838,12.539079504,2358836
256,256,4,8,244,58,60,0.4901102288198,6.0414048972786425,13.3400361024,2358836
256,256,256,10,250,226,56,0.4879201011965999,6.352786593993117,14.58473651712,2358836
256,256,256,8,242,256,49,0.4891664673078,6.084121555512567,13.729326750719999,2358836
512,256,256,10,244,256,85,0.49077545257349997,6.474190339970031,15.017094671039997,2358836
512,256,256,9,242,256,86,0.48792581195769996,6.285922504976017,14.451375758399998,2358836
16,256,256,8,241,256,65,1.4065090562526,15.723189768748908,13.545473054399999,2358836
16,256,256,9,242,64,87,1.4076937414282,15.973460547003537,13.579036007040001,2358836
512,256,4,7,236,220,55,0.37264510352701996,4.727092845690652,13.366913556204,2878201
128,128,4,5,232,104,49,0.45600442382406,5.196094369123782,12.341672390136,2878201
128,64,4,6,211,72,49,0.44457673928797997,5.180643140905059,12.590450723712,2878201
128,16,4,5,232,223,51,0.45600447353999995,5.1929782958337345,12.390393966256001,2878201
256,64,4,7,192,215,53,0.37264527256102,4.638857161691005,13.117936359051999,2878201
16,64,4,6,246,103,54,1.2099246942716797,12.961172155431216,12.593234813776,2878201
32,4,4,7,239,58,53,0.88209274802254,9.779014531278673,12.84012394338,2878201
16,4,4,8,167,131,52,1.1843939076944199,13.156990740376896,13.183760202708,2878201
256,4,4,6,243,170,53,0.72670161625244,8.102868451953642,12.747552948752,2878201
256,4,4,9,250,237,55,0.71229142166268,8.521218276826426,14.070294024516,2878201
512,128,4,5,188,83,54,0.45268752076128005,5.236496501397005,12.435734861583999,3402860
512,256,64,8,189,200,55,0.3796706640625,4.92805478399167,13.750322530732,3402860
512,256,16,5,188,83,54,0.45216269281115995,5.244535851917656,12.464868375468,3402860
512,256,256,7,184,199,55,0.37174857254932,4.730018983491984,13.346927766816,3402860
512,16,16,5,188,142,55,0.45218257205365997,5.2257596748180335,12.453135424484,3402860
32,4,64,12,87,158,157,0.8544306295969399,10.444145884860045,14.560194443991998,3402860
512,256,4,12,181,228,54,0.39189159250886,5.5895466672806915,15.905307672056,3402860
512,256,256,10,180,105,52,0.38124876433224,5.2080767262296135,14.552737059892,3402860
512,256,256,10,181,256,50,0.38124335523249997,5.223100367921097,14.957623300628,3402860
512,64,256,6,153,129,55,0.42562089996839997,5.110202797621301,12.83316371822,3402860
512,64,64,9,150,203,54,0.41512640161462,5.376996025731129,14.124583780763999,3936465
512,64,64,9,149,205,51,0.41512227377542,5.377141612742898,14.127566734404,3936465
128,128,64,4,205,153,211,0.5611259791160799,6.126803165270142,12.096771896292001,3936465
512,64,128,9,149,205,54,0.41511520843892,5.3846895588920285,14.140791162207998,3936465
512,16,128,9,148,69,53,0.41536159042626003,5.368642533825889,13.897183281608,3936465
512,4,16,10,150,91,49,0.6985641447158,8.596880941673666,14.361927458720002,3936465
16,4,128,4,58,251,242,1.2274147287086798,12.619383392245123,12.029556007603999,3936465
256,4,128,10,147,77,51,0.69844144587484,8.506561739033193,14.050606530491999,3936465
512,16,128,10,124,256,53,0.6151263703374601,7.769785264362879,14.729526778956,3936465
512,128,128,9,123,110,54,0.615115518081,7.565199320930359,13.908120778288,3936465
